name,has_website,official_url,official_title,relevant_links,justdial_com,indiamart_com,cardekho_com,carwale_com,cars24_com,olx_in,sulekha_com,yellowpages_in,total_referral_links,lead_score,lead_category,lead_reason,extracted_phone
Skoda Service Centre Indore,True,https://dealers.skoda-auto.co.in/location/madhya-pradesh/indore,Škoda Dealer Locator | Indore | Car Dealer,"[{'name': 'Skoda Service Centre Indore', 'title': 'Shyam Škoda Showroom, Bhawarkua Road | Official dealer', 'url': 'https://dealers.skoda-auto.co.in/shyam-skoda-showroom-shyam-sangam-automobiles-private-limited-car-dealer-bhawarkua-road-indore-473788/Home', 'domain': 'dealers.skoda-auto.co.in', 'snippet': 'Jun 18, 2026 · Get accurate address, phone no, timings & nearby Dealers of Shyam Škoda Showroom, Bhawarkua Road, Indore. Connect with us at +9162629902xx.', 'type': 'official_or_other'}, {'name': 'Skoda Service Centre Indore', 'title': 'Skoda Showrooms in Indore | 4 Skoda Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/skoda/indore/', 'domain': 'carwale.com', 'snippet': 'Skoda has 4 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Skoda Service Centre Indore', 'title': 'satguru-skoda-showroom-indore.com - Drive Your Škoda Today', 'url': 'https://www.satguru-skoda-showroom-indore.com/', 'domain': 'satguru-skoda-showroom-indore.com', 'snippet': 'Satguru Škoda Showroom and Service No 7/4, Dewas Naka, Lasudia Mori, Near Lasudia Police Station, Indore, Indore, Madhya Pradesh, 452001', 'type': 'official_or_other'}, {'name': 'Skoda Service Centre Indore', 'title': 'Find list of Skoda Service Center in Indore near me - Justdial', 'url': 'https://www.justdial.com/Indore/Skoda-Service-Center/nct-16164737', 'domain': 'justdial.com', 'snippet': 'Get Phone Numbers, Address, Reviews, Photos, Maps , FAQs for find list of Skoda Service Center near me in Indore on Justdial.', 'type': 'referral'}]",1,0,0,1,0,0,0,0,2,15,Strong Online Presence,Business has an official website - lower digital opportunity,
Volkswagen Showroom AB Road Indore,True,https://volkswagen-indore.com/,Volkswagen Indore | Volkswagen Showroom in Indore,"[{'name': 'Volkswagen Showroom AB Road Indore', 'title': 'Volkswagen cars dealers and showrooms in Indore - CarDekho', 'url': 'https://www.cardekho.com/Volkswagen/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': '2 Volkswagen car dealers in Indore · Volkswagen Indore. Khata No. 55, Khasra No. 20 Near Police Staion Lasuriya Mori, Indore. Contact Dealer. Call Dealer.', 'type': 'referral'}, {'name': 'Volkswagen Showroom AB Road Indore', 'title': 'Volkswagen Indore in Lasudia Dewas Naka,Indore - Justdial', 'url': 'https://www.justdial.com/Indore/Volkswagen-Indore-Near-Police-Staion-Lasuriya-Mori-Lasudia-Dewas-Naka/0731PX731-X731-200616222851-G4G2_BZDET', 'domain': 'justdial.com', 'snippet': 'Volkswagen Indore in Lasudia Dewas Naka,Indore listed under Volkswagen-Car Dealers in Indore. Rated 4.6 based on 2174 Customer Reviews and Ratings with 28 ...', 'type': 'referral'}, {'name': 'Volkswagen Showroom AB Road Indore', 'title': 'Volkswagen Showrooms in Indore | 2 Volkswagen Dealers in Indore', 'url': 'https://www.carwale.com/dealer-showrooms/volkswagen/indore/', 'domain': 'carwale.com', 'snippet': 'Volkswagen Indore. Khata No. 55, Khasra No. 20 Near Police Staion Lasuriya Mori AB Road, Indore, Madhya Pradesh 452010 · Car loan offers. Instant Loan ...', 'type': 'referral'}, {'name': 'Volkswagen Showroom AB Road Indore', 'title': 'Volkswagen Indore (@volkswagenindore) - Instagram', 'url': 'https://www.instagram.com/volkswagenindore/?hl=en', 'domain': 'instagram.com', 'snippet': ""ANAND GROUP Indore's Authorized Volkswagen Dealer Virtus • Taigun • Tiguan Sales | Service | Genuine Parts Offers, Test Drives & Service."", 'type': 'referral'}]",1,0,1,1,0,0,0,0,3,10,Strong Online Presence,Business has an official website - lower digital opportunity,
Volkswagen Service Centre Indore,True,https://volkswagen-indore.com/,Volkswagen Indore | Volkswagen Showroom in Indore,"[{'name': 'Volkswagen Service Centre Indore', 'title': 'Volkswagen Showrooms in Indore | 2 Volkswagen Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/volkswagen/indore/', 'domain': 'carwale.com', 'snippet': 'Find Volkswagen showrooms in Indore. Locate 2 dealers of Volkswagen in Indore, find addresses and contact numbers, or get assistance from CarWale in contacting the showroom directly for more ...', 'type': 'referral'}, {'name': 'Volkswagen Service Centre Indore', 'title': 'Volkswagen Dealers & Showroom in Indore - Prokerala', 'url': 'https://www.prokerala.com/automobile/volkswagen/dealers/in-indore.html', 'domain': 'prokerala.com', 'snippet': 'This page gives the contact details, email and telephone number of Volkswagen Indore dealers . For all your queries relating to Volkswagen models, test drive of Volkswagen vehicles in Indore, service and price of Volkswagen cars in Indore, you may contact the Volkswagen Indore showroom.', 'type': 'official_or_other'}, {'name': 'Volkswagen Service Centre Indore', 'title': 'Volkswagen Indore - Sales & Service Dealer in Indore', 'url': 'https://rightindia.com/listing/automotive/biz-car-dealerships/india/madhya-pradesh/indore/volkswagen-indore-sales-service/', 'domain': 'rightindia.com', 'snippet': 'Discover Volkswagen Indore for expert sales and service. Quality cars and maintenance in Indore’s trusted dealership.', 'type': 'official_or_other'}, {'name': 'Volkswagen Service Centre Indore', 'title': 'VW Indore Aditya Nagar | Volkswagen Showroom in Indore', 'url': 'https://volkswagen-indore-aditya-nagar.com/', 'domain': 'volkswagen-indore-aditya-nagar.com', 'snippet': 'Visit our Showroom (s) for best prices and offers. VW Indore Aditya Nagar is the best Volkswagen Dealer to help you in all your Volkswagen car requirements. Visit us to get the best quote for on-road price and offers on Volkswagen The New Taigun, Volkswagen Virtus, Volkswagen Tiguan R-Line, Volkswagen Tayron R-Line in Indore.', 'type': 'official_or_other'}]",0,0,0,1,0,0,0,0,1,20,Strong Online Presence,Business has an official website - lower digital opportunity,
Renault Showroom Vijay Nagar Indore,False,,,"[{'name': 'Renault Showroom Vijay Nagar Indore', 'title': 'Car Dealers Renault in Indore - Renault New Car Showrooms near me', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Renault/nct-10076140', 'domain': 'justdial.com', 'snippet': 'Car Dealers Renault in Indore. Discover top Renault showrooms in Indore offering the latest car models, car prices and services.', 'type': 'referral'}, {'name': 'Renault Showroom Vijay Nagar Indore', 'title': '2 Renault Car Showrooms in Indore - Find Contact & Location Details', 'url': 'https://www.cardekho.com/Renault/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': '2 Renault car dealers in Indore · Renault Indore. 293/2/1, Yojana 114 Part 1 And 2, Indore. Contact Dealer. Call Dealer · Renault Indore East. Near Rajendra Nagar ...', 'type': 'referral'}, {'name': 'Renault Showroom Vijay Nagar Indore', 'title': 'Prince Renault Indore (@princerenaultindore) - Instagram', 'url': 'https://www.instagram.com/princerenaultindore/?hl=en', 'domain': 'instagram.com', 'snippet': 'At Prince Renault, we have exciting offers that make this festive season more joyous. . . . Visit today Prince Renault Indore Autoking Combines Pvt. Ltd. For ...', 'type': 'referral'}, {'name': 'Renault Showroom Vijay Nagar Indore', 'title': '2 Renault Dealers in Indore - Showrooms - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/renault/indore/', 'domain': 'carwale.com', 'snippet': 'Renault Indore. 293/2/1, Yojana 114 Part 1 And 2, A B Road, Indore, Madhya Pradesh 452010. Get Best Offers · Renault Indore East. 283, A.B. Road, Bijalpur Square ...', 'type': 'referral'}]",1,0,1,1,0,0,0,0,3,70,High Priority,No official website but listed on 3 referral platform(s),
Popular Renault Palasia Indore,True,https://www.prokerala.com/automobile/renault/dealers/in-indore.html,Renault Dealer in Indore | Renault Showroom Indore - Prokerala,"[{'name': 'Popular Renault Palasia Indore', 'title': 'Popular Renault Car Showrooms in Palasia Square, Indore', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Renault-in-Palasia-Square/nct-10076140', 'domain': 'justdial.com', 'snippet': 'Car Dealers Renault in Palasia Square, Indore. Discover top Renault showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Car Dealers Renault near you in Palasia Square, Indore on Justdial.', 'type': 'referral'}, {'name': 'Popular Renault Palasia Indore', 'title': 'Renault Showrooms in Indore | 2 Renault Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/renault/indore/', 'domain': 'carwale.com', 'snippet': 'Renault has 2 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Popular Renault Palasia Indore', 'title': '2 Renault Car Showrooms in Indore', 'url': 'https://carhp.in/car-dealers/renault/indore', 'domain': 'carhp.in', 'snippet': 'Looking to buy a Renault car in Indore? Find the best Renault showrooms and authorized dealers in and around the city offering the full Renault lineup — including popular models.', 'type': 'official_or_other'}, {'name': 'Popular Renault Palasia Indore', 'title': '2 Renault Car Showrooms in Indore, Renault Dealers in Indore - Find ...', 'url': 'https://www.zigwheels.com/dealers/renault/Indore', 'domain': 'zigwheels.com', 'snippet': 'Find Renault Car showrooms in Indore. Check the list of Renault dealerships in Indore with dealer location, contact details and directions.', 'type': 'referral'}]",1,0,0,1,0,0,0,0,2,15,Strong Online Presence,Business has an official website - lower digital opportunity,
Nissan Showroom AB Road Indore,True,https://www.nissanusa.com/dealer-locator.html,Nissan Dealer Locator: Find a Dealership Near You | Nissan USA,"[{'name': 'Nissan Showroom AB Road Indore', 'title': 'Anand Nissan - Indore, Indore : BRILLIANT STAR, PLOT... - Carz4Sale', 'url': 'https://www.carz4sale.in/new-car-showrooms/dealer/nissan/madhya-pradesh/indore/5189/anand-nissan-indore', 'domain': 'carz4sale.in', 'snippet': 'Nissan Showrooms in Indore ››.Brilliant star, plot no. 2/e/a, schm. No. 54, vijay nagar, M.r 10 road, opp.hotel fortune landmark, Indore, Madhya Pradesh, India Pin Code - 452010.', 'type': 'official_or_other'}, {'name': 'Nissan Showroom AB Road Indore', 'title': 'Explore Sedans, SUVs, Sports, and Commercial Cars | Nissan Dubai', 'url': 'https://en.nissan-dubai.com/', 'domain': 'en.nissan-dubai.com', 'snippet': 'Visit the official Nissan Dubai to find new Nissan Sedan, SUV, Sports, Commercial and 4X4 cars. Images, specs, test drives, and showroom locations awaiting.', 'type': 'official_or_other'}, {'name': 'Nissan Showroom AB Road Indore', 'title': 'SOMYA VEHICLE SOLUTIONS PRIVATE LIMITED | ZaubaCorp', 'url': 'https://www.zaubacorp.com/SOMYA-VEHICLE-SOLUTIONS-PRIVATE-LIMITED-U45100MP2020PTC052847', 'domain': 'zaubacorp.com', 'snippet': 'SOMYA VEHICLE SOLUTIONS is a 5 year old company with registered office in Indore, Madhya Pradesh. 5 Key Management Personnel (KMPs) have been associated with the company since its inception.', 'type': 'official_or_other'}, {'name': 'Nissan Showroom AB Road Indore', 'title': 'Ricon city main khandwa road indore !! indore best...', 'url': 'https://www.youtube.com/watch?v=QqTTb_aXM-A', 'domain': 'youtube.com', 'snippet': '', 'type': 'referral'}]",0,0,0,0,0,0,0,0,0,25,Low Priority,Business has an official website - lower digital opportunity,
Jeep FCA Showroom AB Road Indore,True,https://www.prokerala.com/automobile/jeep/dealers/in-indore.html,Jeep Dealers & Showroom in Indore - Prokerala,"[{'name': 'Jeep FCA Showroom AB Road Indore', 'title': 'Satguru Jeep in Vijay Nagar,Indore - Best Car Dealers near me in ...', 'url': 'https://www.justdial.com/Indore/Satguru-Jeep-Near-Lasudia-Police-Station-Vijay-Nagar/0731PX731-X731-170802150855-Q6I6_BZDET', 'domain': 'justdial.com', 'snippet': 'Established in the year 2010, Satguru Jeep in Vijay Nagar,Indore listed under Car Dealers in Indore. Rated 4.1 based on 361 Customer Reviews and Ratings ...', 'type': 'referral'}, {'name': 'Jeep FCA Showroom AB Road Indore', 'title': 'Satguru Engitech : Indore, Madhya Pradesh - Carz4Sale', 'url': 'https://www.carz4sale.in/new-car-showrooms/dealer/jeep/madhya-pradesh/indore/7609/satguru-engitech', 'domain': 'carz4sale.in', 'snippet': 'Satguru Engitech : Jeep Car Showroom in Indore, Madhya Pradesh : 7/4 Lasudia Mori, Dewas Naka, Near Lasudia Police Station, A.B. Road.', 'type': 'official_or_other'}, {'name': 'Jeep FCA Showroom AB Road Indore', 'title': 'Jeep Car Service Centers in Indore - CarDekho', 'url': 'https://www.cardekho.com/Jeep/Indore/car-service-center.htm', 'domain': 'cardekho.com', 'snippet': 'Satguru Jeep Indore, 7/5 Lasudia Mori, Dewas Naka, Near Lasudia Police Station,, A.B. Road,, Indore, 452010 ...', 'type': 'referral'}, {'name': 'Jeep FCA Showroom AB Road Indore', 'title': 'Satguru Jeep Indore - Facebook', 'url': 'https://www.facebook.com/satgurujeep/', 'domain': 'facebook.com', 'snippet': '7/5 Lasudia Mori, Dewas Naka, Near Lasudia Police Station, A.B. Road, Indore, Madhya Pradesh, 45201... .', 'type': 'referral'}]",1,0,1,0,0,0,0,0,2,15,Strong Online Presence,Business has an official website - lower digital opportunity,
BMW Showroom South Tukoganj Indore,True,https://auto.hindustantimes.com/bmw-cars/dealers/indore,Bmw Car Dealers in Indore- Nearest Bmw Showrooms in Indore - HT Auto,"[{'name': 'BMW Showroom South Tukoganj Indore', 'title': 'Popular BMW I3 Car Showrooms in South Tukoganj, Indore', 'url': 'https://www.justdial.com/Indore/Car-Dealers-BMW-I3-in-South-Tukoganj/nct-11639335', 'domain': 'justdial.com', 'snippet': 'BMW I3 Car Dealers in South Tukoganj, Indore. Discover top BMW I3 showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading BMW I3 Car Dealers near you in South Tukoganj, Indore on Justdial.', 'type': 'referral'}, {'name': 'BMW Showroom South Tukoganj Indore', 'title': 'BMW Dealers in Indore - BMW New Car Showrooms near me - Justdial', 'url': 'https://www.justdial.com/Indore/BMW-Dealers/nct-10076003', 'domain': 'justdial.com', 'snippet': 'BMW Dealers in Indore. Discover top BMW showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading BMW Dealers near you in Indore on Justdial.', 'type': 'referral'}, {'name': 'BMW Showroom South Tukoganj Indore', 'title': 'BMW Car Showrooms in Indore - Find Contact & Location Details - CarDekho', 'url': 'https://www.cardekho.com/BMW/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a BMW Car Showroom in Indore? Find Dealer location, contact info and directions to 1 dealers to plan your visit to BMW Showroom.', 'type': 'referral'}, {'name': 'BMW Showroom South Tukoganj Indore', 'title': 'BMW Showrooms in Indore | 1 BMW Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/bmw/indore/', 'domain': 'carwale.com', 'snippet': 'BMW has 1 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}]",2,0,1,1,0,0,0,0,4,10,Strong Online Presence,Business has an official website - lower digital opportunity,
Mercedes Benz Showroom Vijay Nagar Indore,True,https://www.mercedes-benz.co.in/passengercars/mercedes-benz-cars/dealer-locator.html,Car dealership & showroom near me | Mercedes-Benz India,"[{'name': 'Mercedes Benz Showroom Vijay Nagar Indore', 'title': 'Mercedes Benz Authorised Car Dealers in Vijay Nagar, Indore - Mercedes ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Mercedes-Benz-Authorised-in-Vijay-Nagar/nct-10914890', 'domain': 'justdial.com', 'snippet': 'Discover top Mercedes Benz showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Mercedes Benz Authorised Car Dealers near you in Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Mercedes Benz Showroom Vijay Nagar Indore', 'title': 'Car Dealers Mercedes Benz near Family Dental Care Vijay Nagar, Indore ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Mercedes-Benz-in-Family-Dental-Care-Vijay-Nagar/nct-10076099', 'domain': 'justdial.com', 'snippet': 'Discover top Mercedes Benz showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Car Dealers Mercedes Benz near you near Family Dental Care Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Mercedes Benz Showroom Vijay Nagar Indore', 'title': '1 Mercedes-Benz Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/Mercedes-Benz/Indore/', 'domain': 'carwale.com', 'snippet': 'Mercedes-Benz has 1 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Mercedes Benz Showroom Vijay Nagar Indore', 'title': 'Mercedes-Benz cars dealers and showrooms in Indore', 'url': 'https://www.cardekho.com/Mercedes-Benz/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a Mercedes-Benz Car Showroom in Indore? Find Dealer location, contact info and directions to 1 dealers to plan your visit to Mercedes-Benz Showroom.', 'type': 'referral'}]",2,0,1,1,0,0,0,0,4,10,Strong Online Presence,Business has an official website - lower digital opportunity,
Audi Showroom AB Road Indore,True,https://dealers.myaudi.in/location/madhya-pradesh/indore,Audi India Locator | Indore | Audi Dealer,"[{'name': 'Audi Showroom AB Road Indore', 'title': 'Audi Indore', 'url': 'https://www.audi-indore.com/en/', 'domain': 'audi-indore.com', 'snippet': 'Audi Indore Near Metro Whole Sale, Dewas Naka MR 11 Kataria Complex, Ring Road, 452010 Indore +91 9977439999', 'type': 'official_or_other'}, {'name': 'Audi Showroom AB Road Indore', 'title': 'Audi Showrooms in Indore | 1 Audi Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/audi/indore/', 'domain': 'carwale.com', 'snippet': 'Audi has 1 authorized dealer outlets / showrooms in Indore. Dealer information includes full address, phone numbers, email, pin code etc.', 'type': 'referral'}, {'name': 'Audi Showroom AB Road Indore', 'title': 'Audi Car Dealers in Indore - Audi New Car Showrooms near me ...', 'url': 'https://www.justdial.com/Indore/Audi-Car-Dealers/nct-10075995', 'domain': 'justdial.com', 'snippet': 'Discover top Audi showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Audi Car Dealers near you in Indore on Justdial.', 'type': 'referral'}, {'name': 'Audi Showroom AB Road Indore', 'title': '1 Audi Car Showrooms in Indore, Audi Dealers in Indore - Find ...', 'url': 'https://www.zigwheels.com/dealers/audi/Indore', 'domain': 'zigwheels.com', 'snippet': 'Find Audi Car showrooms in Indore. Check the list of Audi dealerships in Indore with dealer location, contact details and directions.', 'type': 'referral'}]",1,0,0,1,0,0,0,0,2,15,Strong Online Presence,Business has an official website - lower digital opportunity,
Tata EV Showroom Vijay Nagar Indore,True,https://ev.tatamotors.com/dealer-locator.html,Tata.ev Dealer Locator | Find Your Nearest Dealer,"[{'name': 'Tata EV Showroom Vijay Nagar Indore', 'title': 'Tata Showrooms in Indore | 9 Tata Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/tata/indore/', 'domain': 'carwale.com', 'snippet': 'Locate 9 dealers of Tata in Indore, find addresses and contact numbers, or get assistance from CarWale in contacting the showroom directly for more information on Tata car prices, offers,...', 'type': 'referral'}, {'name': 'Tata EV Showroom Vijay Nagar Indore', 'title': 'Jagdish Automotive - Vijay Nagar, Opposite Shalimar Township ...', 'url': 'https://www.cardekho.com/tata/indore/cardealers/jagdish-automotive-vijay-nagar-284230.htm', 'domain': 'cardekho.com', 'snippet': 'Jagdish Automotive - Vijay Nagar, Opposite Shalimar Township - The Tata Car Dealer located in Opposite Shalimar Township, Get Phone Numbers, Address, Photos, Maps of Jagdish Automotive -...', 'type': 'referral'}, {'name': 'Tata EV Showroom Vijay Nagar Indore', 'title': 'Car Dealers Tata Authorised in Vijay Nagar, Indore - Tata New ...', 'url': 'https://www.justdial.com/Indore/Car-Dealers-Tata-Authorised-in-Vijay-Nagar/nct-10914872', 'domain': 'justdial.com', 'snippet': 'Discover top Tata showrooms in Indore offering the latest car models, car prices and services. Get phone numbers, addresses, reviews, photos, and maps for leading Car Dealers Tata Authorised near you in Vijay Nagar, Indore on Justdial.', 'type': 'referral'}, {'name': 'Tata EV Showroom Vijay Nagar Indore', 'title': 'Jagdish Automotive- Vijay, Showroom No G1 & G2,, Indore ...', 'url': 'https://www.cardekho.com/tata/indore/cardealers/jagdish-automotive-vijay-284118.htm', 'domain': 'cardekho.com', 'snippet': 'Jagdish Automotive- Vijay, Showroom No G1 & G2, - The Tata Car Dealer located in Showroom No G1 & G2,, Get Phone Numbers, Address, Photos, Maps of Jagdish Automotive- Vijay.', 'type': 'referral'}]",1,0,2,1,0,0,0,0,4,10,Strong Online Presence,Business has an official website - lower digital opportunity,
BYD Electric Showroom AB Road Indore,True,https://bydautoindia.com/car-dealer/madhya-pradesh/indore/indore,Find BYD Car Dealers and Showrooms in Indore - BYD Auto India,"[{'name': 'BYD Electric Showroom AB Road Indore', 'title': 'BYD Car Showroom - Shubh, Indore - BYD Auto India', 'url': 'https://bydautoindia.com/car-dealer/indore/shubh-car-showroom-in-indore', 'domain': 'bydautoindia.com', 'snippet': 'Get the most up-to-date address, phone number, hours of operation of Car Showroom - Shubh, Indore and other nearby dealers and service centres in Indore.', 'type': 'official_or_other'}, {'name': 'BYD Electric Showroom AB Road Indore', 'title': 'BYD Car Showroom - Luxury Electric Vehicles in Madhya Pradesh | BYD', 'url': 'https://shubhbyd.in/', 'domain': 'shubhbyd.in', 'snippet': ""Explore modern luxury with BYD's electric vehicles. Book a test drive today and discover our exclusive car models. Experience innovation and elegance at our Madhya Pradesh showroom. Join the future of driving with BYD's cutting-edge technology and design."", 'type': 'official_or_other'}, {'name': 'BYD Electric Showroom AB Road Indore', 'title': 'BYD Car Showrooms in Indore - Find Contact & Location Details', 'url': 'https://www.cardekho.com/BYD/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a BYD Car Showroom in Indore? Find Dealer location, contact info and directions to 1 dealers to plan your visit to BYD Showroom.', 'type': 'referral'}, {'name': 'BYD Electric Showroom AB Road Indore', 'title': 'BYD Showrooms in Indore | 1 BYD Dealers in Indore - CarWale', 'url': 'https://www.carwale.com/dealer-showrooms/byd/indore/', 'domain': 'carwale.com', 'snippet': 'Locate 1 dealers of BYD in Indore, find addresses and contact numbers, or get assistance from CarWale in contacting the showroom directly for more information on BYD car prices, offers, EMI ...', 'type': 'referral'}]",0,0,1,1,0,0,0,0,2,15,Strong Online Presence,Business has an official website - lower digital opportunity,
Ola Electric Showroom Indore,True,https://www.olaelectric.com/,Electric Scooter and EV Bike in India| Ola Electric,"[{'name': 'Ola Electric Showroom Indore', 'title': 'OLA Electric Store - Janki Nagar', 'url': 'https://www.bikedekho.com/showrooms/ola-electric/indore/ola-experience-centre-manorama-ganj-50056213', 'domain': 'bikedekho.com', 'snippet': 'Other Ola Electric Scooter Dealers in Indore. OLA Electric Store - Mill Area. 3-4 8/5 Yashwanth Niwas Road Next To Yes Bank Near Rani Sati Gate, Indore, Madhya Pradesh, 452001.', 'type': 'referral'}, {'name': 'Ola Electric Showroom Indore', 'title': 'Suzuki showroom in Indore | 7 Suzuki bike dealers - BikeWale', 'url': 'https://www.bikewale.com/dealer-showrooms/suzuki/indore/', 'domain': 'bikewale.com', 'snippet': 'Suzuki Showrooms in Indore. Showroom experience has always played an important role while buying a new bike. BikeWale brings you the address, contact details and directions of Suzuki Showroom to improve your buying experience.Hop Electric. Husqvarna. Hyosung.', 'type': 'referral'}, {'name': 'Ola Electric Showroom Indore', 'title': 'The 10 best electrical vehicle in Indore - Last... - StarOfService', 'url': 'https://www.starofservice.in/dir/madhya-pradesh/indore/indore/vehicle-electronics', 'domain': 'starofservice.in', 'snippet': 'See here the whole list of our best electrical vehicle Indore and their surroundings reviewed by StarOfService community from Indore - Madhya Pradesh. Do you want to know who is in the top 100 ?', 'type': 'official_or_other'}, {'name': 'Ola Electric Showroom Indore', 'title': 'Angry Ola customer burns showroom... | The Financial Express', 'url': 'https://www.financialexpress.com/auto/electric-vehicles/angry-ola-customer-burns-showroom-heres-what-actually-happened/3608860/', 'domain': 'financialexpress.com', 'snippet': 'Electric Vehicles.This incident follows the accident that happened in Indore when a fire broke out at one of the Ola Electric showrooms. Some reports say it was caused by an electric short circuit.', 'type': 'official_or_other'}]",0,0,0,0,0,0,0,0,0,25,Low Priority,Business has an official website - lower digital opportunity,
Citroen Showroom Indore,True,https://mahindra.somyagroup.org/,"Somya Vehicles : Mahindra dealers and showrooms in Indore, Dhar","[{'name': 'Citroen Showroom Indore', 'title': '5 Mahindra Car Showrooms in Indore - Find Contact & Location Details', 'url': 'https://www.cardekho.com/Mahindra/Indore/cardealers', 'domain': 'cardekho.com', 'snippet': 'Looking for a Mahindra Car Showroom in Indore? Find Dealer location, contact info and directions to 5 dealers to plan your visit to Mahindra Showroom.', 'type': 'referral'}, {'name': 'Citroen Showroom Indore', 'title': 'olx.in/indore_g4058916', 'url': 'https://www.olx.in/indore_g4058916', 'domain': 'olx.in', 'snippet': 'Free classifieds in Indore, Classified ads in …', 'type': 'referral'}, {'name': 'Citroen Showroom Indore', 'title': 'Honda showroom in Indore | 13 Honda bike dealers - BikeWale', 'url': 'https://www.bikewale.com/dealer-showrooms/honda/indore/', 'domain': 'bikewale.com', 'snippet': 'Honda Showrooms in Indore. Showroom experience has always played an important role while buying a new bike. BikeWale brings you the address, contact details and directions of Honda Showroom to improve your buying experience.', 'type': 'referral'}, {'name': 'Citroen Showroom Indore', 'title': 'Citroen C5 Aircross SUV Car Launching at Banjara Hills... - YouTube', 'url': 'https://www.youtube.com/watch?v=m1ZXNLalq7I', 'domain': 'youtube.com', 'snippet': 'Show less. Citroen C5 Aircross SUV Cars Launching at Banjara Hills Mission Citroen Showroom in Hyderabad | T News -- TNews is a 24/7 Telugu news channel now on YouTube.The first Telangana news channel featuring best news from all around the world.', 'type': 'referral'}]",0,0,1,0,0,1,0,0,2,20,Strong Online Presence,Business has an official website - lower digital opportunity,
